Kanji	On'yomi	Kun'yomi	Jinmeiyo	Grade	Stroke Count	Heisig	Heisig 6th	Newspaper Frequency	Meanings	Heisig Keyword
苫	セン	とま		0	8	2397	2478	2028	rush matting	thatching
葛	カツ, カチ	つづら, くず	か, かず, かずら, かっ, かつら	8	11	2398	492	1547	arrowroot, kudzu	kudzu
蒼	ソウ	あお.い		9	13	2399	2479	2276	blue, pale	pale blue
藁	コウ	わら		9	17	2400	2480	2488	straw	straw
蕪	ブ, ム	かぶ, かぶら, あれる		9	15	2401	2481	0	turnip	turnip
藷	ショ, ジョ	いも		0	18	2402	2482	0	potato	sweet potato
薮	ソウ	やぶ		0	16	2403	2483	2109	thicket, bush, underbrush, grove	quack
蒜	サン	にんにく, ひる, のびる		0	13	2404	2484	0	garlic	garlic
蕨	ケツ	わらび		9	15	2405	2485	2307	bracken, fernbrake	bracken
蔚	ウツ, イ	うち, おとこよもぎ		0	14	2406	2486	0	dense growth	plentiful
茜	セン	あかね		9	9	2407	2487	2422	madder, red dye, Turkey red	madder red
莞	カン	い		9	10	2408	2488	0	smiling, reed used to cover tatami	candle rush
蒐	シュウ	あかね, あつ.まる, あつ.める		9	13	2409	2489	0	gather	collector
菅	カン, ケン	すげ	す, すが, すご	9	11	2410	2490	1562	sedge	sedge
葦	イ	しお.れる, しな.びる, しぼ.む, な.える	あし	9	13	2411	2491	2343	reed, bullrush	ditch reed
迪	テキ	みち, みちび.く, すす.む, いた.る	すすむ, すすみ, いたる, ゆう	9	8	2412	2492	0	edify, way, path	Way
辿	テン	たど.る, たどり		9	6	2413	2493	0	follow (road), pursue	track down
這	シャ, ゲン	は.う, は.い, むか.える, この		9	10	2414	2494	0	crawl, creep, grovel, trail (vines)	crawl
迂	ウ			9	6	2415	2495	0	roundabout way	detour
遁	トン, シュン	のが.れる		9	12	2416	2496	0	flee, escape, shirk, evade, set free	elude
逢	ホウ	あ.う, むか.える	あい, おう	9	10	2417	2497	2116	meeting, tryst, date, rendezvous	tryst
遥	ヨウ	はる.か		9	12	2418	2498	2376	far off, distant, long ago	far off
遼	リョウ		はるか	9	15	2419	2499	2050	distant	remote
逼	フク, ヒツ, ヒョク, ヒキ	せま.る, むかばき		0	12	2420	2500	0	urge, force, imminent, spur on	pressing
迄	キツ	まで, およ.ぶ		9	6	2421	2501	0	until, up to, as far as, to the extent	until
遜	ソン	したが.う, へりくだ.る, ゆず.る		8	13	2422	1496	0	humble, modest	modest
逗	トウ, ズ	とど.まる		9	10	2423	2502	2027	stop	standstill
郁	イク		あや, かおる, い, か, ふみ, ゆう	9	9	2424	0	1920	cultural progress, perfume	cultured
鄭	テイ, ジョウ			9	15	2425	2503	1732	an ancient Chinese province	courtesy
隙	ゲキ, キャク, ケキ	すき, す.く, す.かす, ひま		8	13	2426	1394	0	crevice, fissure, discord, opportunity, leisure	chink
隈	ワイ, エ	くま, すみ		9	12	2427	2505	2311	corner, nook, recess	nook
憑	ヒョウ	つ.く, つか.れる, よ.る, たの.む		0	16	2428	2506	0	depend, rely, evidence, proof, according to, possess, haunt	possessed
惹	ジャク, ジャ	ひ.く		9	12	2429	2507	0	attract, captivate	attract
悉	シツ, シチ	つ.きる, ことごと, ことごと.く, つ.くす, つぶさ.に		9	11	2430	2508	0	all, entirely, altogether, completely, use up, run out of, exhaust, befriend, serve	without exception
忽	コツ	たちま.ち, ゆるが.せ	ぬ	9	8	2431	2509	0	in a moment, instantly, all of a sudden, neglect, disregard	instantaneously
惣	ソウ	いそが.しい, そうじて	ふさ, そ	9	12	2432	2510	2211	all	firstborn son
愈	ユ	いよいよ, まさ.る		0	13	2433	2511	0	be superior, heal, more and more, increasingly, finally, beyond doubt	in the nick of time
恕	ジョ, ショ	ゆる.す		9	10	2434	2512	0	excuse, tolerate, forgive	sensitive
昴	コウ, ボウ	すばる		9	9	2435	2513	0	the Pleiades	overarching
晋	シン	すす.む	すすむ, ゆき, くに, すすみ, のぶ	9	10	2436	2514	1655	advance	progress
曖	アイ	くら.い		8	17	2437	797	0	dark, not clear	equivocal
晟	セイ, ジョウ	あきらか		9	10	2438	2515	0	clear	aglow
暈	ウン	ぼか.す, ぼか.る, かさ, くま, ぼかし, めまい		0	13	2439	2516	0	halo, corona, fade	halo
暉	キ	かが.やく	てる	9	13	2440	2517	2285	shine, light	glitter
旱	カン	ひでり		0	7	2441	2518	0	drought, dry weather	dry weather
晏	アン	おそ.い		9	10	2442	2519	0	late, quiet, sets (sun)	clear skies
晨	シン	あした, とき, あさ		9	11	2443	2520	0	morning, early	morrow
晒	サイ, シ	さら.す, さらし		9	10	2444	2521	0	bleach, refine, expose, air	bleaching
昧	マイ, バイ	くら.い, むさぼ.る		8	9	2445	231	0	dark, foolish	obscure
晃	コウ	あきらか	あき, あきら, てる, ひかる, みつ	9	10	2446	2522	1666	clear	limpid
曝	バク, ホク, ボク	さら.す		9	19	2447	2523	0	bleach, refine, expose, air	air out
曙	ショ	あけぼの		9	17	2448	2524	1518	dawn, daybreak	dawn
昂	コウ, ゴウ	あ.がる, たか.い, たか.ぶる	あき, あきら, たか, たかし, のぼる	9	8	2449	2525	0	rise	elevate
旺	オウ, キョウ, ゴウ	かがや.き, うつくし.い, さかん		8	8	2450	278	2342	flourishing, successful, beautiful, vigorous	effulgent
昏	コン	くら.い, くれ		9	8	2451	2526	0	dark, evening, dusk	dusk
晦	カイ	つごもり, くら.い, みそか, くら.む	もり	9	10	2452	2527	0	dark, disappear	last day of the month
腎	ジン			8	13	2453	916	1755	kidney	kidney
股	コ	また, もも		8	8	2454	764	2212	thigh, crotch	thigh
膿	ノウ, ドウ	う.む, うみ		0	17	2455	2528	0	pus, fester, discharge	pus
腑	フ	はらわた		0	12	2456	2529	0	viscera, bowels	viscera
胱	コウ			0	10	2457	2530	0	bladder	bladder
胚	ハイ	はらみ, はら.む		0	9	2458	2531	2471	embryo	embryo
肛	コウ			0	7	2459	2532	0	anus	anus
臆	オク, ヨク	むね, おくする		8	17	2460	655	0	timidity, heart, mind, fear, cowardly	cowardice
膝	シツ	ひざ		8	15	2461	1002	2320	knee, lap	knee
脆	ゼイ, セイ, セツ	もろ.い, よわい		0	10	2462	2533	0	brittle, fragile, easy to beat, sentimental, susceptible	fragile
肋	ロク	あばら		9	6	2463	2534	0	rib	rib
肘	チュウ	ひじ		8	7	2464	46	0	elbow, arm	elbow
腔	コウ			9	12	2465	2535	0	body cavity	body cavity
腺	セン			8	13	2466	141	0	gland	gland
腫	シュ, ショウ	は.れる, は.れ, は.らす, く.む, はれもの		8	13	2467	1807	2145	tumor, swelling	tumor
膳	ゼン, セン	かしわ, すす.める, そな.える	ぜ, よし	8	16	2468	1113	2120	small low table, tray	dining tray
肱	コウ	かいな, ひじ, まるい		0	8	2469	2536	0	ability, talent, elbow, arm	armrest
胡	ウ, コ, ゴ	なんぞ	えびす, くる	9	9	2470	2537	1995	barbarian, foreign	uncivilized
楓	フウ	かえで		9	13	2471	2538	0	maple	maple tree
枕	チン, シン	まくら		8	8	2472	2034	2084	pillow	pillow
楊	ヨウ	かわ, やなぎ	やな	9	13	2473	2539	1815	willow	purple willow
椋	リョウ	むく	ぐら	9	12	2474	2540	0	type of deciduous tree, grey starling	Oriental elm
榛	シン, ハン	はしばみ, はり	はい, はる	9	14	2475	2541	2205	hazelnut, filbert	hazel
櫛	シツ	くし, くしけず.る		9	17	2476	2542	2256	comb	comb
槌	ツイ	つち		9	13	2477	2543	2462	hammer, mallet	wooden hammer
樵	ショウ	きこ.る, こ.る, きこり		0	16	2478	2544	0	woodcutting, lumberjack	mallet
梯	テイ, タイ	はしご	だい	9	11	2479	2545	2218	ladder, stairs, insatiable drinking	ladder
椅	イ			8	12	2480	218	2245	chair	chair
柿	シ	かき		8	9	2481	441	1745	persimmon	persimmon
柑	コン, カン			9	9	2482	2546	0	citrus, orange	citrus tree
桁	コウ	けた		8	10	2483	956	0	beam, girder, spar, unit or column (accounting)	girder
杭	コウ	くい	わたる	9	8	2484	2547	2329	stake, post, picket	picket
柊	シュ, シュウ	ひいらぎ		9	9	2485	2548	0	holly	holly
柚	ユ, ユウ, ジク	ゆず		9	9	2486	2549	2489	citron	citron
椀	ワン	はち		9	12	2487	2550	0	wooden or lacquered bowl	wooden bowl
栂		つが, とが		0	9	2488	2551	0	hemlock, (kokuji)	hemlock
柾		まさ, まさめ, まさき		9	9	2489	2552	0	straight grain, spindle tree, (kokuji)	spindle tree
榊		さかき		9	13	2490	2553	2094	sacred Shinto tree, (kokuji)	sacred Shinto tree
樫		かし		9	16	2491	2554	2297	evergreen oak, (kokuji)	evergreen oak
槙	テン, シン	まき, こずえ		9	14	2492	2555	1983	twig, ornamental evergreen	Chinese black pine
楢	シュウ, ユウ	なら		9	13	2493	2556	2032	oak	Japanese oak
橘	キツ	たちばな	きっ	9	16	2494	2557	2053	mandarin orange	mandarin orange
桧	カイ	ひのき, ひ		9	10	2495	2558	2056	Japanese cypress	Japanese cypress
棲	セイ	す.む	ずみ	9	12	2496	2559	0	live, dwell	roost
栖	セイ	す.む	す, すみ	9	10	2497	2560	0	nest, rookery, hive, cobweb, den	nestle
梗	コウ, キョウ	ふさぐ, やまにれ, おおむね		8	11	2498	751	0	for the most part, close up, flower stem	spiny
桔	キツ, ケツ		き	9	10	2499	2561	0	used in plant names	bellflower
杜	ト, トウ, ズ	もり, ふさ.ぐ, やまなし		9	7	2500	2562	2062	woods, grove	temple grove
杷	ハ	つか	わ	9	8	2501	2563	0	kind of rake	grain rake
梶	ビ	かじ, こずえ		9	11	2502	2564	1355	sculling oar	oar
杵	ショ, ソ	きね	き	9	8	2503	2565	2355	wooden pestle	wooden pestle
杖	ジョウ	つえ		9	7	2504	2566	2387	staff, cane	cane
椎	ツイ, スイ	つち, う.つ	しい	8	12	2505	597	1911	chinquapin, mallet, spine	sweet oak
樽	ソン	たる		9	16	2506	2567	1981	barrel, cask, keg	barrel
柵	サク, サン	しがら.む, しがらみ, とりで, やらい	ませ, やな	8	9	2507	1968	0	stockade, fence, weir, entwine around	palisade
櫓	ロ	やぐら, おおだて		9	19	2508	2568	0	oar, tower	turret
橿	キョウ	かし, もちのき		0	17	2509	2569	2198	oak	sturdy oak
杓	シャク, チョウ, テキ, ヒョウ	ひしゃく		0	7	2510	2570	0	ladle, scoop	wooden ladle
李	リ	すもも	もも, い	9	7	2511	2571	1147	plum	damson
棉	メン	わた		0	12	2512	2572	0	cotton	raw cotton
楯	ジュン	たて		9	13	2513	2573	0	shield, buckler, pretext	escutcheon
榎	カ	えのき	え, えの	9	14	2514	2574	1945	lotus tree, nettle tree, hackberry	hackberry
樺	カ	かば, かんば	から, かも, かん	9	14	2515	2575	1982	birch, dark red	birch
槍	ソウ, ショウ	やり	うつ	9	14	2516	2576	2261	spear, lance, javelin	lance
柘	シャ, ジャク	そ, つげ, やまぐわ	つ	9	9	2517	2577	0	wild mulberry	wild mulberry
梱	コン	こう.る, こうり, こり, しきみ		0	11	2518	2578	0	pack, tie up, bale	bale
枇	ビ, ヒ			9	8	2519	2579	0	spoon	loquat
樋	トウ	ひ, とい	て, と, とよ, とわ	9	14	2520	2580	1814	water pipe, gutter, downspout, conduit	downspout
橇	キョウ, ゼイ, セイ	そり, かんじき		0	16	2521	2581	0	sled, sleigh, snowshoes	sled
槃	ハン	たら.い		0	14	2522	2582	0	tub	enjoyment
栞	カン	しおり		9	10	2523	2583	0	bookmark, guidebook	bookmark
椰	ヤ	やし		9	13	2524	2584	0	coconut tree	coconut tree
檀	ダン, タン	まゆみ		9	17	2525	2585	2291	cedar, sandlewood, spindle tree	sandalwood
樗	チョ	おおち, おうち	ちょう	0	15	2526	2586	0	Japanese bead tree	plotosid
槻	キ	つき		9	15	2527	2587	2008	Zelkova tree	zelkova
椙		すぎ		0	12	2528	2588	2437	Japanese cedar, cryptomeria, (kokuji)	cryptomeria
彬	ヒン, フン	うるわ.しい, あき.らか	あきら, あき, よし	9	11	2529	2589	2174	refined, gentle	copious
桶	ヨウ, トウ	おけ		9	11	2530	2590	2210	tub, bucket	bucket
楕	ダ, タ			9	13	2531	2591	2476	ellipse	ellipse
樒	ミツ	しきみ, じんこう		0	15	2532	2592	0	tree whose branches are placed on Buddhist graves	star-anise
毬	キュウ	いが, まり		9	11	2533	2593	2431	burr, ball	furball
燿	ヨウ	かがや.く, ひかり		9	18	2534	2594	0	shine	twinkle
燎	リョウ	かがりび		9	16	2535	2595	0	burn, bonfire	watchfire
炬	コ, キョ		たい	0	9	2536	2596	0	torch, signal fire	torch
焚	フン, ホン, ハン	た.く, や.く, やきがり		9	12	2537	2597	0	burn, kindle, build a fire, boil, cook	kindle
灸	キュウ, ク	やいと		9	7	2538	2598	0	moxa cautery, chastisement	moxa
燭	ソク, ショク	ともしび		9	17	2539	2976	0	light, candlepower	candlelight
煽	セン	あお.る, おだ.てる, おこ.る		0	14	2540	2599	0	fan, flap, instigate, agitate, bolster up, gulp down	fanning
煤	バイ, マイ	すす		9	13	2541	2600	0	soot, smoke dried	soot
煉	レン	ね.る		9	12	2542	2601	0	refine metals, kneading over fire	firing
燦	サン	さん.たる, あき.らか, きらめ.く, きら.めく		9	17	2543	2602	0	brilliant	dazzling
灼	シャク	あらた, やく		9	7	2544	2603	0	miraculous	refulgent
烙	ラク, カク	や.く		0	10	2545	2604	0	burn	branding
焔	エン	ほのお		0	11	2546	2605	0	flame, blaze	flames
熔	ヨウ	と.ける, と.かす, いがた		0	14	2547	0	0	fuse, melt	fuse metal
煎	セン	せん.じる, い.る, に.る	いり	8	13	2548	310	2458	broil, parch, roast, boil	roast
烹	ホウ	に.る		0	11	2549	2606	0	boil, cook	stew
牽	ケン	ひ.く		9	11	2550	2607	0	pull, tug, drag, lead by hand	tug
牝	ヒン	めす, め-, めん		0	6	2551	2608	2300	female	female animal
牡	ボ, ボウ	おす, お-, おん-		9	7	2552	2609	2155	male	male animal
瑶	ヨウ	たま		9	13	2553	0	0	beautiful as a jewel	precious stone
琳	リン			9	12	2554	2610	0	jewel, tinkling of jewelry	chime
瑠	ル, リュウ		るり	8	14	2555	1528	2352	lapis lazuli	marine blue
斑	ハン	ふ, まだら	い	8	12	2556	1865	2165	spot, blemish, speck, patches	speckled
琉	リュウ, ル			9	11	2557	2611	2036	precious stone, gem, lapis lazuli	lapis lazuli
弄	ロウ, ル	いじく.る, ろう.する, いじ.る, ひねく.る, たわむ.れる, もてあそ.ぶ		8	7	2558	731	0	play with, tamper, trifle with	tinker with
瑳	サ	みが.く		9	14	2559	2612	0	polish, brilliant white luster of a gem, artful smile	burnish
琢	タク	みが.く	あや, たか	9	11	2560	2613	2022	polish	hone
珊	サン	センチ, さんち		9	9	2561	2614	0	coral, centimeter	coral
瑚	コ, ゴ			9	13	2562	2615	0	ancestral offering receptacle, coral	coral reef
瑞	ズイ, スイ	みず-, しるし	たま, ず, みつ	9	13	2563	2616	1873	congratulations	fortunate
珪	ケイ	たま		0	10	2564	0	0	jade scepter or tablet (authority symbol)	silicon
玖	キュウ, ク		たま, き, ひさ	9	7	2565	2617	0	beautiful black jewel, nine	jet
瑛	エイ		よう, あき, あきら, てる, え	9	12	2566	2618	2393	sparkle of jewelry, crystal	crystal stone
玩	ガン	もちあそ.ぶ, もてあそ.ぶ		8	8	2567	276	2216	play, take pleasure in, trifle with, make sport of	toy
玲	レイ		たま, あきら, あき, りょう, れ	9	9	2568	2619	1931	sound of jewels	tinkling
畏	イ	おそ.れる, かしこま.る, かしこ, かしこ.し		8	9	2569	2069	2389	fear, majestic, graciously, be apprehensive	apprehensive
畢	ヒツ	おわ.る, あみ, おわ.り, ことごとく		9	11	2570	2620	0	the end, finish	lastly
畦	ケイ	あぜ, うね		0	11	2571	2621	0	rice paddy ridge, furrow, rib	paddy-field ridge
痒	ヨウ	かゆ.がる, かさ, かゆ.い		0	11	2572	2622	0	itchy	itch
痰	タン			0	13	2573	2623	0	sputum, phlegm	phlegm
疹	シン, チン	はしか		0	10	2574	2624	0	measles, sickness	measles
痔	ヂ, ジ	しもがさ		0	11	2575	2625	0	piles, hemorrhoids	hemorrhoids
癌	ガン			0	17	2576	2626	2233	cancer, cancerous evil	cancer
痩	ソウ, チュウ, シュウ, シュ	や.せる		8	12	2577	1818	0	get thin	lose weight
痕	コン	あと		8	11	2578	1822	1958	mark, foot print	scar
痺	ヒ	しび.れる		0	13	2579	2627	0	palsy, become numb, paralysed	paralysis
眸	ボウ, ム	ひとみ		9	11	2580	2628	0	pupil of the eye	apple of the eye
眩	ゲン, カン	げん.す, くるめ.く, まぶ.しい, くら.む, まど.う, めま.い, まばゆ.い, くれ.る, ま.う		0	10	2581	2629	0	faint, dizzy	dizzy
瞭	リョウ	あきらか		8	17	2582	1843	0	clear	obvious
眉	ビ, ミ	まゆ		8	9	2583	2045	2177	eyebrow	eyebrow
雉	ジ, チ	きじ	き	0	13	2584	2630	0	pheasant	pheasant
矩	ク	かね, かねざし, さしがね	のり, つね, ただし	9	10	2585	2631	2380	ruler, carpenter's square	carpenter's square
磐	バン, ハン	いわ	いわお, わ	9	15	2586	2632	1701	rock, crag, cliff, wall (in a mine)	crag
碇	テイ	いかり		0	13	2587	2633	0	anchor, grapnel	grapnel
碧	ヘキ, ヒャク		みどり, あお, たま	9	14	2588	2634	2455	blue, green	blue-green
硯	ケン, ゲン	すずり		9	12	2589	2635	2500	inkstone	inkstone
砥	シ, テイ, キイ, チ	と, といし, と.ぐ, みが.く, たいら.にする		9	10	2590	2636	0	whetstone, grindstone	grindstone
碗	ワン	こばち		9	13	2591	2637	0	porcelain bowl, tea cup	teacup
碍	ガイ, ゲ	さまた.げる		0	13	2592	2638	0	obstacle	obstacle
碩	セキ	おお.きい		9	14	2593	2639	0	large, great, eminent	illustrious
磯	キ	いそ	し, そ	9	17	2594	2640	1444	seashore, beach	rocky beach
砺	レイ	あらと, みが.く	と	0	10	2595	2641	0	whetstone, polish	whetstone
碓	カク, タイ	たし.か, かく.たる	う, うす	9	13	2596	2642	2364	pestle	mill
禦	ギョ, ゴ	ふせ.ぐ		0	17	2597	2643	0	defend, protect, resist, ward off	fend off
祷	トウ	いの.る, いの.り, まつ.る		9	11	2598	2644	0	pray	beseech
祐	ユウ, ウ	たす.ける	すけ, さち, よし, たすく, ひろ, ひろし, まさ	9	9	2599	2645	1706	help	ancestral tablet
祇	ギ, キ, シ	くにつかみ, ただ, まさに		9	8	2600	2646	2169	national or local god, peaceful, great	local god
祢	ネ, デイ, ナイ			9	9	2601	2647	0	ancestral shrine	ancestral shrine
禄	ロク	さいわ.い, ふち	とし, よし	9	12	2602	2648	2126	fief, allowance, pension, grant, happiness	salarium
禎	テイ	さいわ.い	さだ, ただし, よし, さち, とも, のり	9	13	2603	2649	2083	happiness, blessed, good fortune, auspicious	felicitation
秤	ショウ, ヒン, ビン	はかり		9	10	2604	2650	0	balances, scales, steelyard	balancing scales
黍	ショ	きび		0	12	2605	2651	0	millet	millet
禿	トク	ちび.る, かむろ, は.げる, はげ		0	7	2606	2652	0	become bald, bare, wear out, waste away, little girl employed at a brothel	bald
稔	ネン, ジン, ニン	みの.る, みのり	とし, なる, なり, みのる, ね, み	9	13	2607	2653	1775	harvest, ripen	bear fruit
稗	ハイ, ヒ	ひえ		0	14	2608	2654	0	humble, deccan grass	crabgrass
穣	ジョウ	わら, ゆたか	しげ, みのる	9	18	2609	2655	2464	good crops, prosperity, 10**28	bumper crop
稜	リョウ, ロウ	いつ, かど		9	13	2610	2656	2091	angle, edge, corner, power, majesty	imperial authority
稀	キ, ケ	まれ, まばら		9	12	2611	2657	2232	rare, phenomenal, dilute (acid)	sparse
穆	ボク, モク	やわ.らぐ		0	16	2612	2658	0	respectful, mild, beautiful	obeisant
窺	キ	うかが.う, のぞく		9	16	2613	2659	0	lie in wait, spy on, reconnoiter	peep
窄	サク	すぼ.める, つぼ.める, せま.い		9	10	2614	2660	0	narrow, fold, furl, shrug, pucker, shut, close	tight
窟	クツ, コツ	いわや, いはや, あな		8	13	2615	1420	0	cavern	cavern
穿	セン	うが.つ, は.く		9	10	2616	2661	0	put on (to the feet), dig, pierce, drill	drill
竃	ソウ	かまど, かま, へっつい		0	17	2617	2662	0	kitchen stove, furnace, oven, hearth	kitchen stove
竪	ジュ	たて, た.てる, こども		9	14	2618	2663	2370	length, height, warp	longness
颯	サツ, ソウ	さっ.と		9	14	2619	2664	0	sudden, quick, sound of the wind	rustling
站	タン			0	10	2620	2665	0	stop, halt	outpost
靖	セイ, ジョウ	やす.んじる	のぶ, やす, やすし, しず, おさむ, きよし	9	13	2621	2666	1390	peaceful	repose
妾	ショウ	めかけ, そばめ, わらわ		0	8	2622	2667	0	concubine	concubine
衿	キン, コン	えり		9	9	2623	2668	0	neck, collar, lapel	lapel
裾	キョ, コ	すそ		8	13	2624	1145	2334	cuff, hem, foot of mountain	hem
袷	コウ, キョウ	あわせ		0	11	2625	2669	0	lined (kimono)	lined kimono
袴	コ, ク	はかま, ずぼん		9	11	2626	2670	2175	men's formal divided skirt	pleated skirt
襖	オウ	ふすま, あお		9	17	2627	2671	0	opaque sliding door	sliding door
笙	ショウ, ソウ	ふえ		9	11	2628	2672	0	a reed instrument	Chinese panpipe
筏	バツ, ハツ, ボチ	いかだ		0	12	2629	2673	0	raft	raft
簾	レン	すだれ, す	みす	9	19	2630	2674	0	bamboo screen, rattan blind	bamboo blinds
箪	タン	はこ		0	15	2631	2675	0	bamboo rice basket	rattan box
竿	カン	さお		9	9	2632	2676	2416	pole, rod, scale beam, violin neck	pole
箆	ヘイ, ハイ	へら, の, くし		0	14	2633	2677	0	spatula, arrow shaft	spatula
箔	ハク	すだれ		9	14	2634	2678	0	foil, gilt	foil
笥	ス, シ	け, はこ		0	11	2635	2679	0	lunch box, clothes chest	wardrobe
箭	セン	や		0	15	2636	2680	0	arrow	arrow shaft
筑	チク		つく, づき	9	12	2637	2681	1530	an ancient musical instrument	ancient harp
篭	ロウ, ル	かご, こ.める, こも.る, こ.む	ごめ	0	16	2638	1022	2237	seclude oneself, cage, coop, implied	cage
篠	ゾウ, ショウ	しの, ささ, すず	の	9	17	2639	2682	1556	bamboo grass	slender bamboo
箸	チョ, チャク	はし		8	15	2640	1348	2156	chopsticks	chopsticks
纂	サン	あつ.める		9	20	2641	2683	0	editing, compiling	redaction
竺	ジク, チク, トク		あつし	9	8	2642	2684	0	bamboo	bamboo cane
箕	キ	み	みの	9	14	2643	2685	2023	winnowing	winnowing fan
笈	キュウ		おい	9	9	2644	2686	0	backpack bookcase	backpack
篇	ヘン			9	15	2645	2687	2076	volume, chapter, book, editing, compilation	livraison
筈	カツ	はず, やはず		9	12	2646	2688	0	notch of an arrow, ought, must, should be, expected	should
簸	ハ	ひ.る		0	19	2647	2689	0	winnow, fan	winnow
粕	ハク	かす		0	11	2648	2690	1905	scrap, waste	settlings
糟	コウ, ソウ	ぬか	かす	0	17	2649	2691	0	dregs, sediment, grounds	lees
糊	コ, ゴ, コツ	のり		9	15	2650	2692	0	paste, glue, sizing	paste
籾		もみ		9	9	2651	2693	0	unhulled rice, (kokuji)	unhulled rice
糠	コウ	ぬか		0	17	2652	2694	0	rice bran	rice bran
糞	フン	くそ		0	17	2653	2695	2473	shit, feces, excrement	excrement
粟	ゾク, ショク, ソク	あわ, もみ	あ, さっ, そう	9	12	2654	2696	2146	millet	foxtail millet
繋	ケイ	つな.ぐ, かか.る, か.ける		0	17	2655	2697	0	tie, fasten, chain, tether, connect	link up
綸	リン, カン	いと		9	14	2656	2698	0	thread, silk cloth	twine
絨	ジュウ			0	12	2657	2699	0	wool cloth	carpet yarn
絆	ハン	きずな, ほだ.す, つな.ぐ		9	11	2658	2700	2220	bonds, fetters	ties
緋	ヒ	あけ, あか		9	14	2659	2701	2443	scarlet, cardinal	scarlet
綜	ソウ	おさ.める, す.べる		9	14	2660	2702	2194	rule, synthesize	synthesis
紐	チュウ, ジュウ	ひも		9	10	2661	2703	0	string, cord, braid, lace, tape, strap, ribbon	string
紘	コウ	おおづな, つな, つなぐ	ひろ, ひろし	9	10	2662	2704	1685	large	chinstrap
纏	テン, デン	まつ.わる, まと.う, まと.める, まと.まる, まと.い		9	21	2663	2705	0	wear, wrap, tie, follow around, collect	summarize
絢	ケン		じゅん, あや	9	12	2664	2706	2315	brilliant fabric design	gorgeous
繍	シュウ	ぬいとり		0	17	2665	2707	0	sew, figured cloth	embroidery
紬	チュウ	つむぎ, つむ.ぐ		9	11	2666	2708	0	pongee (a knotted silk cloth)	pongee
綺	キ	あや		9	14	2667	2709	2413	figured cloth, beautiful	ornate
綾	リン	あや	りょう	9	14	2668	2710	1759	design, figured cloth, twill	damask
絃	ゲン	いと		9	11	2669	2711	0	string, cord, samisen music	catgut
綻	タン	ほころ.びる		8	14	2670	1439	0	be rent, ripped, unravel, run, begin to open, smile	come apart at the seams
縞	コウ	しま, しろぎぬ		9	16	2671	2712	2491	stripe	stripe
綬	ジュ	ひも		0	14	2672	2713	0	ribbon	gimp
紗	サ, シャ	うすぎぬ	たえ, すず	9	10	2673	2714	0	gauze, gossamer	gossamer
舵	ダ, タ	かじ		9	11	2674	2715	2225	rudder, helm, wheel	rudder
舷	ゲン	ふなばた		8	11	2675	2015	0	gunwale	gunwale
聯	レン	つら.なる, つら.ねる		0	17	2676	2716	1967	party, gang, clique	strung together
聡	ソウ	さと.い, みみざと.い	さと, さとし, さとる, あき, あきら, とし, さた, みのる	9	14	2677	2717	1507	wise, fast learner	attentive
聘	ヘイ	へい.する, と.う, め.す		0	13	2678	2718	0	invite	summons
耽	タン	ふ.ける		9	10	2679	2719	0	addicted, absorbed in	addiction
耶	ヤ, ジャ	か		9	9	2680	2720	0	question mark	exclamation
蚤	ソウ	のみ, はやい		0	10	2681	2721	0	flea	flea
蟹	カイ	かに		9	19	2682	2722	2417	crab	crab
蛋	タン			0	11	2683	2723	2266	barbarian, egg	protein
蟄	チツ, チュウ	ちっ.する, かく.れる		0	17	2684	2724	0	hibernation of insects	hibernation
蝿	ヨウ	はえ, はい		0	15	2685	2725	0	fly	housefly
蟻	ギ	あり		0	19	2686	2726	0	ant	ant
蜂	ホウ	はち	ほ	8	13	2687	1684	2223	bee, wasp, hornet	bee
蝋	ロウ	みつろう, ろうそく	あじ	0	14	2688	2727	0	wax	wax
蝦	カ, ゲ	えび	えみ	9	15	2689	2728	2501	shrimp, prawn, lobster	shrimp
蛸	ソウ, ショウ	たこ		0	13	2690	2729	0	octopus	octopus
螺	ラ	にし, にな		9	17	2691	2730	0	small, edible, helical fresh-water mollusk	screw
蝉	セン, ゼン	せみ		0	15	2692	2731	0	cicada	cicada
蛙	ア, ワ	かえる, かわず		0	12	2693	2732	0	frog	frog
蛾	ギ, ガ	ひむし		0	13	2694	2733	0	moth	moth
蛤	コウ	はまぐり		0	12	2695	2734	0	clam	clam
蛭	シツ, チツ	ひる	えび	0	12	2696	2735	2434	leech	leech
蛎	レイ	かき		0	11	2697	2736	0	oyster	oyster
罫	ケイ, カイ, ケ			0	13	2698	2737	0	ruled line	ruled lines
罵	バ	ののし.る		8	15	2699	2143	2467	abuse, insult	insult
袈	ケ, カ			9	11	2700	2738	0	a coarse camlet	stole
裟	サ, シャ			9	13	2701	2739	0	Buddhist surplice	monk's sash
戴	タイ	いただ.く		8	17	2702	1938	2332	be crowned with, live under (a ruler), receive	accept humbly
截	セツ, サイ	き.る, た.つ		0	14	2703	2740	0	cut off, sever	incision
哉	サイ	かな, や	か, すけ, とし, ちか, はじめ	9	9	2704	2741	0	how, what, alas, question mark, exclamation mark	I wonder
詢	ジュン, シュン	はか.る, まこと		9	13	2705	2742	0	consult with	counsel
諄	シュン	ひちくど.い, くど.い, くどくど, ねんご.ろ		9	15	2706	2743	0	tedious	polite
